learnable	type	translation	authoritative	is_regex
щодня			1	0
майже			1	0
рідко			1	0
близько			1	0
інколи			1	0
ліворуч			1	0
завжди			1	0
недавно			1	0
мало			1	0
праворуч			1	0
щоранку			1	0
далеко			1	0
щоночі			1	0
туди			1	0
зазвичай			1	0
звичайно			1	0
батька			1	0
сиру			1	0
сала			1	0
піца			1	0
віктора			1	0
цукор			1	0
роботи			1	0
без хліба			1	0
масла			1	0
вина			1	0
молока			1	0
рибою			1	0
каша			1	0
картоплею			1	0
рибу			1	0
ковбасою			1	0
риба			1	0
бутерброд			1	0
газом			1	0
тіткою			1	0
сиром			1	0
лимоном			1	0
воду			1	0
маслом			1	0
на обід			1	0
дорого			1	0
мюслі			1	0
на десерт			1	0
фрукти			1	0
на сніданок			1	0
каву			1	0
дідусь			1	0
пора року			1	0
його			1	0
могла			1	0
нас			1	0
могли			1	0
міг			1	0
хокей			1	0
бейсбол			1	0
вас			1	0
молоде			1	0
племінниця			1	0
племінниці			1	0
двоюрідний			1	0
двоюрідна			1	0
молода			1	0
племінник			1	0
молоді			1	0
хлопчиком			1	0
дівчинки			1	0
хлопчик			1	0
підліток			1	0
дівчинкою			1	0
жінки			1	0
людини			1	0
дитини			1	0
вікторія			1	0
уранці			1	0
м'яч			1	0
у мене			1	0
менеджер			1	0
десять			1	0
хрещатик			1	0
вегетаріанці			1	0
меню			1	0
піци			1	0
капустою			1	0
м'ясом			1	0
майонезом			1	0
з чим			1	0
психолог			1	0
викладач			1	0
професія			1	0
секретар			1	0
перекладач			1	0
бізнесмен			1	0
за професією			1	0
мають			1	0
ваше			1	0
фотографувати			1	0
банджо			1	0
їсть мед			1	0
мене звуть			1	0
до побачення			1	0
постмодернизм			1	0
класика			1	0
стиль			1	0
класику			1	0
стилі			1	0
сучасне			1	0
сучасна			1	0
сучасний			1	0
мистецтво			1	0
борода			1	0
питали			1	0
відповіла			1	0
питаю			1	0
відповів			1	0
питаєте			1	0
відповісти			1	0
відповіли			1	0
питає			1	0
тебе			1	0
у суботу			1	0
десятий			1	0
дванадцятий			1	0
одинадцятий			1	0
дванадцята			1	0
одинадцята			1	0
десята			1	0
відповідь			1	0
низький			1	0
висока			1	0
низька			1	0
високі			1	0
високий			1	0
брюнетка			1	0
блондинка			1	0
руде			1	0
темне			1	0
світлі			1	0
короткий			1	0
руда			1	0
довге			1	0
світле			1	0
сиве			1	0
брюнет			1	0
коротка			1	0
блондин			1	0
темні			1	0
чотири			1	0
її			1	0
мати			1	0
око			1	0
має			1	0
маю			1	0
маєте			1	0
мав			1	0
очі			1	0
мала			1	0
неділя			1	0
шостий			1	0
шоста			1	0
сьомий			1	0
дев'ятий			1	0
п'ята			1	0
сьома			1	0
дев'ята			1	0
п'ятий			1	0
дев'яте			1	0
сьоме			1	0
восьма			1	0
восьмий			1	0
ідіть			1	0
посуд			1	0
у неділю			1	0
четверта			1	0
останній			1	0
другий			1	0
третій			1	0
перший			1	0
остання			1	0
перше			1	0
третя			1	0
четвертий			1	0
третє			1	0
покажіть			1	0
мене			1	0
мене звуть			1	0
їх			1	0
медсестра			1	0
сорок			1	0
